Compare Experiments Report,Mon Nov 17 13:39:42 2025,,,,,,,,,,,,,,TFS,Probe Count,,TFS,Probe Count,,TFS,Probe Count,,TFS,Probe Count,,TFS,Probe Count,,,,,
Platform,Species,Probe Count,Sequences Loaded,,,,,,,,,,,,,615,,2.02,24,,12.0022,13,,11.1101,5,,13.2022,1,,,,,
04_Mouse_RNA-Seq_76K-RefSeqLncRNA_edgeR_TPM,Mouse-mm9,75798,0,,,,,,,,,,,,8.0001,143,,4.002,23,,10.0101,11,,3.11,4,,,,,,,,
Exp. no.,|FC| >,P-value used,P <,Study,Exp. info,Exp. samples,,,,,,,,,8.0002,89,,10.0202,21,,1.1,10,,7.222,4,,,,,,,,
1540,2,1,0.05,G174-G178_SexDiffs_76K_Liver subfractionation,76K_FullGeneBody_TPM_EdgeR_FeatureCounts_pval1:padj_pval2:pval,Male_Cytoplasm_G174_M1M2M3_FullGeneBody/Female_Cytoplasm_G174_M7M8M9_FullGeneBody,,,,,,,,,15.2222,52,,1.2,20,,12.0011,9,,5.202,4,,,,,,,,
1544,2,1,0.05,G174-G178_SexDiffs_76K_Liver subfractionation,76K_FullGeneBody_TPM_EdgeR_FeatureCounts_pval1:padj_pval2:pval,Male_Nucleus_G175_M1M2M3_FullGeneBody/Female_Nucleus_G175_M7M8M9_FullGeneBody,,,,,,,,,14.0222,41,,2.01,18,,3.22,7,,9.2002,3,,,,,,,,
1548,2,1,0.05,G174-G178_SexDiffs_76K_Liver subfractionation,76K_FullGeneBody_TPM_EdgeR_FeatureCounts_pval1:padj_pval2:pval,Male_Nucleoplasm_G176_M1M2M3_FullGeneBody/Female_Nucleoplasm_G176_M7M8M9_FullGeneBody,,,,,,,,,15.1111,37,,4.001,17,,7.111,7,,9.1001,2,,,,,,,,
1556,2,1,0.05,G174-G178_SexDiffs_76K_Liver subfractionation,76K_FullGeneBody_TPM_EdgeR_FeatureCounts_pval1:padj_pval2:pval,Male_Chromatin_polyA_G178_M1M2M3_FullGeneBody/Female_Chromatin_polyA_G178_M7M8M9_FullGeneBody,,,,,,,,,14.0111,26,,6.022,15,,6.011,7,,11.2202,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Up:,65,115,103,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down:,93,166,153,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1540:Male_Cytoplasm_G174_M1M2M3_FullGeneBody/Female_Cytoplasm_G174_M7M8M9_FullGeneBody,,,,,1544:Male_Nucleus_G175_M1M2M3_FullGeneBody/Female_Nucleus_G175_M7M8M9_FullGeneBody,,,,,1548:Male_Nucleoplasm_G176_M1M2M3_FullGeneBody/Female_Nucleoplasm_G176_M7M8M9_FullGeneBody,,,,,1556:Male_Chromatin_polyA_G178_M1M2M3_FullGeneBody/Female_Chromatin_polyA_G178_M7M8M9_FullGeneBody,,,,
Probe ID,TFS,1540:FS,1544:FS,1548:FS,1556:FS,Max. Intensity,Comment,Probe Note,Mapping Location(s),Accession No.,Gene Name/Desc.,GO terms,Gene Symbol,1540: Ratio,1540: FC,1540: Intensity-1,1540: Intensity-2,1540: P-1,1544: Ratio,1544: FC,1544: Intensity-1,1544: Intensity-2,1544: P-1,1548: Ratio,1548: FC,1548: Intensity-1,1548: Intensity-2,1548: P-1,1556: Ratio,1556: FC,1556: Intensity-1,1556: Intensity-2,1556: P-1
NC_AS_C11_9447,9.2002,1.2,0,0,8.0002,13.189681,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr11:7,050,611-7,052,603",,"lnc_as_chr11_9447, ",,lnc_as_chr11_9447,0.032828557,-30.4612841,5.9174731,0.16337278,0.000140655,0.10311803,-9.6976248,6.4186532,0.70319534,0.14429993,0.083739948,-11.9417318,5.6295746,0.41073884,0.20832347,0.028851873,-34.6597947,13.189681,0.29598013,0.003674919
